stimulator	inhibitor	type	AKT	JUN	ERK	GSK3AB	IGFR	IRS1	MEK	P70S6K
		blank	102	53	74	13	51	77	55	246
		blank	91	37	66	7	37	69	34	230
		blank	107	47	59	9	40	82	49	225
BSA	DMSO	c	213	1319	879	113	66	208	2185	235
BSA	DMSO	c	252	2170	990	140	93	244	2162	290
BSA	Medium	c	282	2291	1083	122	76	254	2230	301
BSA	Medium	c	207	4068	1393	171	81	324	2565	375
IGF	DMSO	t	4480	3560	1419	239	1826	232	3206	837
TGFA	DMSO	t	665	9172	5245	378	91	826	5136	2358
BSA	MEK	t	280	493	147	120	92	179	3287	227
BSA	MEK	t	249	709	119	95	76	199	3846	203
IGF	MEK	t	9814	3318	176	545	3402	275	4422	2300
TGFA	MEK	t	932	7400	4937	378	90	581	10891	2373
BSA	PI3K	t	119	3366	940	94	79	204	2083	302
BSA	PI3K	t	112	4892	898	99	78	202	1975	265
IGF	PI3K	t	200	6783	1622	156	3132	214	3148	519
TGFA	PI3K	t	155	12780	7001	480	82	806	5906	2269
BSA	GSK3AB	t	202	1631	851	81	79	186	1896	252
BSA	GSK3AB	t	452	4519	979	106	76	305	1728	290
IGF	GSK3AB	t	7057	3550	1663	232	2081	278	3404	922
TGFA	GSK3AB	t	516	6043	4444	228	93	524	5360	1380
