stimulator	inhibitor	type	AKT	ERK	GSK3AB	IGFR	IKBA	IRS1	MEK	P70S6K
BSA	DMSO	c	213	879	113	66	174	208	2185	235
BSA	DMSO	c	252	990	140	93	217	244	2162	290
BSA	Medium	c	282	1083	122	76	232	254	2230	301
BSA	Medium	c	207	1393	171	81	255	324	2565	375
IGF	DMSO	t	4480	1419	239	1826	341	232	3206	837
TGFA	DMSO	t	665	5245	378	91	225	826	5136	2358
BSA	MEK	t	280	147	120	92	200	179	3287	227
BSA	MEK	t	249	119	95	76	228	199	3846	203
IGF	MEK	t	9814	176	545	3402	293	275	4422	2300
TGFA	MEK	t	932	4937	378	90	224	581	10891	2373
BSA	PI3K	t	119	940	94	79	200	204	2083	302
BSA	PI3K	t	112	898	99	78	155	202	1975	265
IGF	PI3K	t	200	1622	156	3132	229	214	3148	519
TGFA	PI3K	t	155	7001	480	82	166	806	5906	2269
BSA	GSK3AB	t	202	851	81	79	225	186	1896	252
BSA	GSK3AB	t	452	979	106	76	172	305	1728	290
IGF	GSK3AB	t	7057	1663	232	2081	317	278	3404	922
TGFA	GSK3AB	t	516	4444	228	93	307	524	5360	1380
		blank	102	74	13	51	46	77	55	246
		blank	91	66	7	37	36	69	34	230
		blank	107	59	9	40	37	82	49	225
